;TOTAL POR GÊNERO (10 MAIORES CONSUMIDORES DA INDÚSTRIA);24 - METALURGIA;10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;20 - FABRICAÇÃO DE PRODUTOS QUÍMICOS;23 - FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;07 - EXTRAÇÃO DE MINERAIS METÁLICOS;22 - FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;17 - FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;29 - FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS;25 - FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
fev/19;10909396,17;2980865,727;1811184,797;1427535,677;960987,138;890081,938;766206,558;662394,245;565755,014;494827,252;349557,823
mar/19;11370757,86;3134144,795;1816928,379;1498489,706;1025321,692;987327,147;771138,16;705290,772;562264,085;509498,122;360354,999
abr/19;11228885,66;3027013,526;1826752,426;1493223,709;1019989,836;919770,602;772477,843;710165,05;585929,97;511885,624;361677,071
mai/19;11515814,03;3215743,73;1805344,508;1518895,796;1075135,807;953988,645;785844,856;688529,587;590952,127;517578,226;363800,747
jun/19;11241316,6;3158726,873;1731526,795;1450753,866;1050002,343;961772,831;763468,852;707911,54;558851,785;500545,734;357755,984
jul/19;11496425,72;3266421,146;1774200,782;1438910,366;1090234,944;981905,946;775405,329;745171,879;565615,155;506649,954;351910,216
ago/19;11503536,7;3253154,384;1804391,318;1385140,872;1100962,271;987671,711;803076,258;716338,027;581294,638;523473,431;348033,79
set/19;11229765,1;3138879,203;1797930,723;1347351,732;1077260,87;953836,201;796666,938;686589,972;567212,849;522007,18;342029,429
out/19;11693746,29;3213917,526;1888194,124;1453078,759;1126573,603;977318,728;825404,62;733481,649;593471,692;536890,489;345415,101
nov/19;11469264,63;3209415,761;1892618,977;1388343,344;1077984,211;933514,315;826291,87;703887,957;565136,149;524118,383;347953,659
dez/19;11010873,81;3095250,143;1865622;1385935,543;1022781,804;941782,973;756019,535;695662,299;472531,262;451529,113;323759,141
jan/20;11056836,94;3248011,796;1857106,604;1441047,576;1006488,715;915655,635;699980,169;672752,482;482721,66;451514,002;281558,305
fev/20;11264793,38;3187184,425;1880081,459;1414664,05;1030723,113;911897,169;776948,008;702256,236;521767,909;512683,416;326587,598
